idx,lon,lat,day,night
116.71_40.23,116.71,40.23,3.0,88.0
116.71_40.22,116.71,40.22,4.0,3.0
116.71_40.21,116.71,40.21,54.0,139.0
116.71_40.27,116.71,40.27,29.0,275.0
116.71_40.26,116.71,40.26,3.0,15.0
117.02_40.28,117.02,40.28,1.0,0.0
116.71_40.24,116.71,40.24,1.0,104.0
116.96_40.13,116.96,40.13,0.0,2.0
116.96_40.12,116.96,40.12,24.0,8.0
116.96_40.11,116.96,40.11,12.0,150.0
116.96_40.17,116.96,40.17,41.0,20.0
116.96_40.16,116.96,40.16,0.0,3.0
116.96_40.15,116.96,40.15,3.0,5.0
116.96_40.19,116.96,40.19,20.0,826.0
116.91_40.5,116.91,40.5,91.0,0.0
116.92_39.79,116.92,39.79,14.0,147.0
116.92_39.78,116.92,39.78,1.0,177.0
116.73_39.64,116.73,39.64,1.0,31.0
116.76_40.15,116.76,40.15,9.0,166.0
116.32_40.0,116.32,40.0,15842.0,2724.0
116.73_39.66,116.73,39.66,46.0,40.0
116.99_40.47,116.99,40.47,29.0,6.0
116.32_40.2,116.32,40.2,476.0,870.0
116.68_40.77,116.68,40.77,0.0,1.0
116.76_40.11,116.76,40.11,15.0,47.0
116.68_40.74,116.68,40.74,1.0,2.0
115.85_39.58,115.85,39.58,2.0,260.0
115.85_39.59,115.85,39.59,21.0,55.0
116.32_40.7,116.32,40.7,0.0,4.0
115.85_39.56,115.85,39.56,82.0,572.0
115.85_39.57,115.85,39.57,16.0,19.0
117.35_40.63,117.35,40.63,2.0,0.0
117.35_40.64,117.35,40.64,0.0,5.0
117.35_40.65,117.35,40.65,0.0,4.0
117.35_40.66,117.35,40.66,1.0,14.0
116.49_39.79,116.49,39.79,5678.0,7212.0
116.49_39.78,116.49,39.78,14240.0,636.0
116.77_39.89,116.77,39.89,67.0,416.0
116.77_39.88,116.77,39.88,438.0,163.0
116.9_40.46,116.9,40.46,86.0,37.0
116.77_39.83,116.77,39.83,2440.0,213.0
116.77_39.82,116.77,39.82,1502.0,1137.0
116.49_39.73,116.49,39.73,580.0,6.0
116.49_39.72,116.49,39.72,842.0,20.0
116.49_39.75,116.49,39.75,1131.0,785.0
116.49_39.74,116.49,39.74,1629.0,52.0
116.49_39.77,116.49,39.77,1864.0,2612.0
116.49_39.76,116.49,39.76,1857.0,22713.0
116.13_40.56,116.13,40.56,92.0,6.0
116.31_39.5,116.31,39.5,1183.0,615.0
116.31_39.6,116.31,39.6,298.0,281.0
116.31_39.7,116.31,39.7,1243.0,1381.0
116.13_40.52,116.13,40.52,14.0,276.0
